71,-88,8
44,4,-31
19,38,-53
11,62,-37
29,22,-43
11,-84,36
1,-75,1
31,-79,5
23,-89,25
11,55,-59
61,3,-23
5,-79,31
1,-76,1
7,-82,34
26,-78,3
34,-82,7
6,-78,13
29,28,-43
39,0,-37
14,-82,17
13,-17,1
1,-77,1
13,59,-47
31,-91,19
53,-25,-25
19,-91,31
25,35,-47
5,-20,1
13,-22,2
20,-40,1
8,-44,13
5,-40,4
13,-44,8
1,-78,1
13,-88,32
16,-96,49
32,-88,13
61,-38,-19
7,-82,23
16,48,-59
23,-82,7
1,-9,1
9,-27,1
19,3,-9
1,-79,1
19,-85,13
9,69,-41
73,-55,-11
9,-87,37
63,-21,-23
1,-80,1
33,-84,5
25,-86,10
41,-82,2
66,-18,-23
5,-84,33
55,-84,3
11,-84,15
53,-6,-30
71,-90,6
53,6,-30
15,-84,11
1,-81,1
11,-87,23
23,-87,11
4,-11,1
2,-11,2
16,-22,1
3,-24,13
21,-42,1
39,-30,-5
3,-42,7
28,0,-15
1,-82,1
21,42,-59
69,-48,-16
39,-96,16
28,-84,3
12,-84,7
23,48,-48
48,0,-35
9,-11,1
3,-11,3
19,-29,1
27,-3,-7
1,-83,1
37,-89,7
9,-87,19
17,51,-63
19,-87,9
7,-89,37
1,-84,1
58,-98,11
43,0,-41
11,-98,58
1,-85,1
21,51,-55
53,15,-33
41,13,-43
25,-89,7
29,-87,3
7,-89,25
41,-95,11
35,-89,5
17,59,-55
22,-44,1
11,-44,2
38,-48,3
19,-48,6
1,-86,1
67,-42,-21
11,66,-69
57,-96,8
79,-60,-12
59,-90,3
19,-94,19
56,0,-33
1,-87,1
43,-99,13
73,-95,5
61,1,-31
10,-30,1
5,-30,2
1,-88,1
9,78,-46
10,-90,9
41,14,-46
18,54,-67
37,-102,18
45,0,-43
18,-102,37
1,-89,1
61,-93,3
13,-91,7
37,-105,21
23,-46,1
5,-48,14
7,-48,10
35,-48,2
10,-48,7
14,-48,5
1,-90,1
5,-94,37
40,-96,7
8,-96,35
40,16,-49
56,-16,-35
85,-104,8
17,-100,28
29,-98,13
4,-92,23
29,40,-56
28,-100,17
1,-91,1
13,-101,37
53,3,-39
31,31,-59
53,-3,-39
61,-15,-33
21,-32,1
7,-32,3
9,-34,6
27,-20,-5
21,4,-11
3,-32,7
1,-92,1
55,-10,-38
26,-98,11
77,-100,5
11,-98,26
55,10,-38
47,-94,2
65,20,-31
73,-24,-27
89,-108,9
22,-98,13
14,-110,65
1,-93,1
85,-105,7
19,-95,5
17,-99,17
6,-24,1
3,-24,2
24,-48,1
31,10,-17
29,2,-19
3,-48,8
1,-94,1
16,72,-57
73,-100,4
31,42,-57
3,-96,32
76,-4,-29
12,-108,59
76,4,-29
1,-95,1
39,-99,5
65,-109,11
15,-99,13
65,-31,-31
55,1,-41
11,-109,65
5,-99,39
2,-14,1
1,-96,1
11,-106,46
38,-110,19
23,-106,22
49,-98,2
22,-106,23
62,6,-37
11,84,-49
11,-33,1
3,-35,15
5,-35,9
3,29,-17
1,-97,1
43,-103,7
29,-113,29
43,17,-53
81,-57,-19
63,9,-37
11,77,-79
63,-9,-37
